"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum"
1985,5,5,3,4,3,4,2,3,3,3,2,3,3,6,6,3,6,7,5,6,5,6,4,7,6,9,9,5,3,4,2,3,3,2,4,3,3,2,1,3,3,4
1994,3,66,1,4,1,2,2,1,4,2,5,4,6,6,6,4,6,6,3,7,7,4,8,8,7,5,17,3,3,3,1,2,2,3,2,2,2,2,1,3,3,3
1976,1,66,1,4,2,2,1,2,2,2,3,5,5,6,5,3,7,10,4,6,6,7,3,10,10,7,4,5,2,3,2,2,2,2,4,1,1,2,2,1,2,4
2003,1,1,2,4,3,2,2,3,2,2,3,2,4,6,6,4,4,7,5,5,6,8,2,10,6,3,9,8,2,2,2,2,2,2,3,2,2,2,3,2,3,2
1961,66,66,2,2,4,3,2,4,2,2,2,3,3,7,8,9,4,4,5,6,6,8,4,8,8,7,4,1,77,3,4,4,4,3,3,4,4,3,3,3,3,2
1980,1,66,3,6,2,1,1,1,2,2,4,4,4,3,3,7,10,10,7,6,7,8,1,10,5,7,17,7,2,1,2,2,1,2,3,2,4,2,2,2,1,3
1971,2,2,2,4,2,2,2,2,2,2,4,6,6,6,6,4,8,8,8,8,8,2,8,10,8,10,17,8,2,2,2,2,2,2,4,2,2,2,2,2,2,4
2000,66,66,3,6,4,3,2,3,3,2,4,4,6,5,4,10,8,8,7,8,10,5,10,9,5,8,9,9,1,2,1,2,1,2,2,2,3,2,3,1,2,4
1973,66,5,4,77,1,2,1,4,2,2,1,3,4,6,6,4,8,6,4,3,6,5,2,8,8,5,6,7,2,2,1,3,2,2,5,3,2,2,1,4,5,3
1955,66,66,2,4,2,2,2,2,3,3,3,3,3,6,6,0,7,7,4,6,7,5,1,8,5,6,1,5,2,5,3,3,2,2,3,2,2,2,1,1,4,4
