"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
"1985","5","5","3","4","3","4","2","3","3","3","2","3","3","6","6","3","6","7","5","6","5","6","4","7","6","9","9","5","3","4","2","3","3","2","4","3","3","2","1","3","3","4","2","1","1","1","2","2","3","1","3","1","2","2","2","2","1","3","4","2","3","3"
"1994","3",NA,"1","4","1","2","2","1","4","2","5","4","6","6","6","4","6","6","3","7","7","4","8","8","7","5","17","3","3","3","1","2","2","3","2","2","2","2","1","3","3","3","2","1","1","1","1","2","3","2","1","1","3","2","1","2","1","4","3","5","3","2"
"1976","1",NA,"1","4","2","2","1","2","2","2","3","5","5","6","5","3","7","10","4","6","6","7","3","10","10","7","4","5","2","3","2","2","2","2","4","1","1","2","2","1","2","4","2","1","1","2","2","1","3","6","3","2","3","3","1","1","1","2","4","3","3","2"
"2003","1","1","2","4","3","2","2","3","2","2","3","2","4","6","6","4","4","7","5","5","6","8","2","10","6","3","9","8","2","2","2","2","2","2","3","2","2","2","3","2","3","2","2","1","1","1","2","2","3","6","2",NA,"3","2","4","2","2","1","4","2","4","1"
"1961",NA,NA,"2","2","4","3","2","4","2","2","2","3","3",NA,NA,"9","4","4","5","6","6","8","4","8","8","7","4","1",NA,"3","4","4","4","3","3","4","4","3","3","3","3","2","2","1","1","1","2","2","3","1","3","3","3","3","3","3","44","3","4","3","2","2"
"1980","1",NA,"3","6","2","1","1","1","2","2","4","4","4","3","3","7","10","10","7","6","7","8","1","10","5","7","17","7","2","1","2","2","1","2","3","2","4","2","2","2","1","3","2","1","1","1","2","1","3","1","3","1","2","1","1","2","2","2","4","2","2","3"
"1971","2","2","2","4","2","2","2","2","2","2","4","6","6","6","6","4","8","8","8","8","8","2","8","10","8","10","17","8","2","2","2","2","2","2","4","2","2","2","2","2","2","4","2","1","1","1","1","1","1","2","2","1","1","2","1","1","1","2","4","1","2","5"
"2000",NA,NA,"3","6","4","3","2","3","3","2","4","4","6","5","4","10","8","8","7","8","10","5","10","9","5","8","9","9","1","2","1","2","1","2","2","2","3","2","3","1","2","4","2","2","2","2","2","2","3","1","1","2","4","1","2","1","65","2","1","1","2","2"
"1973",NA,"5","4",NA,"1","2","1","4","2","2","1","3","4","6","6","4","8","6","4","3","6","5","2","8","8","5","6","7","2","2","1","3","2","2","5","3","2","2","1","4","5","3","2","1","1","1","2","2","1","1","2","1","3","2","2","2","1","1","3","2","3","2"
"1955",NA,NA,"2","4","2","2","2","2","3","3","3","3","3","6","6","0","7","7","4","6","7","5","1","8","5","6","1","5","2","5","3","3","2","2","3","2","2","2","1","1","4","4","2","1","1","1","2","2","3","6","3","3","4","2","3","4","1","2","4","3","1","1"
"1942","2","2","2","4","2","3","2","2","4","2","2","3","4","5","6","4","6","6","4","6","7","4","6","9","7","5","4","5","3","3","3","2","2","2","4","3","2","2","1","2","3","4","2","1","1","1","2","2","3","6","2","2","4","3","1","2","1","3","1","5","2","1"
"1966",NA,NA,"2","5","1","3","2","2","1","2","1","2","3","5","5","4","7","8","3","7","6","5","5","8","7","7","9","6","2","4","1","2","3","1","6","2","2","1","1","2","3","3","2","1","1","1","2","2","3","1","2","2","4","2","1","2","1","1","4","2","3","1"
"1967",NA,NA,"3","5","1","1","2","2","1","2","0","2","4","6","6","7","8","10","4","6","6",NA,"5","8","8","7","4","5","2","4","2","3","2","1","6","1","2","1","1","2","3","3","2","1","1","1","2","2","3","2","2","1","4","2","1","2","1","1","4","2","3","1"
"1976","2","2","2","2","1","1","1","1","2","2","3","3","4","6","6","2","7","7","5","7","7","4","8","9","8","7","9","5","3","2","2","2","2","1","4","2","2","2","1","3","3","3","2","1","1","1","2","2","1","1","1","2","3","4","1","1","1","1","3","2","5","3"
"1974",NA,NA,"4","3","2","2","1","3","3","2","1","3","2","6","6","0","1","2","0","2","8","10","4","7","6","10","4","4","4","2","2","2","1","1","4","2","2","2","1","4","2","4","2","1","1","1","2","2","3","1","2","1","3","3","2","2","1","1","4","5","2","1"
"1980",NA,NA,"4","4","2","3","3","4","2","2","0","0","5","5",NA,"6","4","5","2","5","5",NA,NA,"2","2","6","4","4","2","5","3","2","3","2","5","2","2","2","3","3","4",NA,"2","1","1","1","2","2","3","1",NA,"3","4","2","2","2","1","2","4","3","2","1"
"1965","1","1","1","4","2","2","2","2","2","2","4","3","4","5","5","6","0","7","3","3","6","8","2","9","3","4","17","7","3","4","2","3","2","2","2","4","2","2","2","2","4","3","2","1","1","1","2","1","3","2","2","1","2","2","4","2","2","2","4","2","4","1"
"1978","2",NA,"1","6","1","1","1","1","5","2","2","3","4","6","6","5","8","8","4","6","5","4","6","10","6","8","17","5","1","1","1","1","2","1","5","4","5","2","1","3","1","4","2","1","1","1","2","2","3","1","2","1","3","1","1","1","55","2","3","3","1","2"
