"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
1961,66,66,2,2,4,3,2,4,2,2,2,3,3,7,8,9,4,4,5,6,6,8,4,8,8,7,4,1,77,3,4,4,4,3,3,4,4,3,3,3,3,2,2,1,1,1,2,2,3,1,3,3,3,3,3,3,44,3,4,3,2,2
1986,1,1,2,3,2,2,1,2,2,3,3,5,4,6,4,6,7,9,6,3,2,7,2,10,3,6,8,6,3,2,1,3,1,1,3,2,1,3,3,1,2,3,2,1,1,1,2,2,3,1,3,2,2,2,2,2,2,1,4,2,3,3
1950,66,66,1,2,2,2,2,2,2,2,8,3,6,6,6,5,8,8,0,88,88,88,0,8,7,6,4,0,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,1,1,1,2,2,3,6,3,1,4,2,1,2,1,2,4,2,2,8
1962,3,66,3,5,1,4,2,3,2,2,1,0,5,6,6,4,6,8,2,4,1,5,3,10,7,5,4,2,2,3,1,1,4,2,6,1,3,1,1,1,3,3,2,1,1,1,2,2,3,6,2,2,4,2,1,2,1,2,1,3,1,1
1952,77,66,2,3,1,1,1,3,1,1,0,3,6,5,5,5,7,10,0,0,2,5,5,10,7,6,5,0,3,3,2,2,3,1,4,1,5,2,1,1,1,4,2,1,1,1,2,2,2,1,2,1,2,1,1,4,1,1,4,3,3,2
1995,77,77,3,4,1,3,3,2,4,2,0,3,4,6,6,5,5,88,3,5,88,77,5,6,4,88,17,4,3,88,3,3,2,3,4,88,3,77,3,88,3,4,2,1,1,1,2,2,3,9,2,7,3,2,2,1,88,3,3,3,3,8
7777,77,66,6,5,1,5,2,88,3,88,0,0,8,8,8,2,0,88,0,0,0,77,2,5,2,4,7777,0,1,6,88,1,88,88,6,2,88,2,88,1,6,4,2,1,1,8,2,2,3,9,3,3,4,8,2,8,55,2,8,2,2,1
1975,2,2,2,88,3,3,3,3,3,2,4,5,5,5,5,6,3,88,3,4,88,3,5,9,5,6,17,4,2,3,1,2,1,3,3,88,3,2,3,3,2,3,2,1,1,1,2,2,1,1,3,1,3,2,1,1,1,3,8,3,2,8
1951,66,66,88,88,88,88,88,88,88,88,8,8,4,6,6,0,5,5,5,5,5,88,0,10,10,6,4,5,88,88,88,88,88,88,88,88,88,88,88,88,88,3,2,1,1,1,2,2,3,2,3,2,3,2,1,8,1,2,3,2,8,1
1978,77,66,4,3,2,5,1,2,2,2,3,4,4,6,8,4,6,7,5,4,88,77,88,88,88,8,7777,5,2,2,1,1,1,3,3,3,3,88,88,88,88,3,2,1,1,1,2,2,7,9,1,2,3,2,2,2,1,3,1,8,3,2
1992,66,66,1,4,1,2,1,1,4,2,4,2,6,6,6,0,0,0,0,5,6,77,3,0,10,9,12,0,2,5,1,1,1,1,3,1,1,1,1,1,4,5,1,1,1,1,2,2,3,1,1,3,2,4,4,1,1,1,3,4,1,1
1961,77,66,1,6,1,5,1,2,1,1,0,0,6,5,5,2,6,10,3,2,2,88,6,9,5,10,4,4,1,4,2,1,3,2,6,1,1,1,1,1,3,4,2,1,1,1,2,2,3,6,2,2,4,2,1,2,2,2,3,4,2,1
1983,77,77,1,2,1,1,1,1,3,2,0,5,6,6,6,2,5,4,0,0,0,6,0,10,7,2,4,0,2,2,1,2,3,1,5,2,1,1,1,1,1,4,2,1,1,1,2,2,3,2,4,7,3,1,2,2,1,1,4,4,2,3
1970,66,3,3,5,6,2,3,2,2,4,0,2,2,8,8,1,2,2,2,3,2,6,3,6,3,6,9,3,6,5,5,3,3,3,1,6,6,5,2,1,3,1,2,1,1,1,2,2,3,1,2,2,3,2,2,2,2,2,3,2,2,4
1990,2,66,2,4,1,2,2,2,6,2,1,4,5,6,6,6,6,8,4,4,4,3,8,8,6,7,17,5,3,3,2,2,2,2,5,2,1,1,1,3,2,3,2,1,1,1,2,2,3,1,1,1,3,2,1,2,1,2,3,3,2,2
2008,66,66,3,4,4,4,4,2,3,4,3,4,4,3,3,6,7,7,7,6,6,7,5,5,6,5,4,7,3,4,4,3,5,3,3,4,2,2,5,2,4,3,2,2,1,1,1,1,3,6,2,2,3,2,3,3,33,3,3,3,4,4
1954,3,66,3,88,88,77,77,77,4,4,3,3,3,3,3,3,4,3,3,5,5,88,4,4,4,7,4,3,88,1,2,2,88,4,3,2,88,3,2,3,88,88,2,1,1,1,2,2,3,6,3,3,4,2,1,3,88,3,4,3,1,1
1966,3,3,1,1,1,1,1,2,2,2,5,4,6,6,6,1,5,7,2,4,3,6,5,9,8,5,4,5,1,2,3,2,2,2,2,5,1,1,1,1,1,2,2,1,1,1,2,2,3,2,1,2,4,2,1,1,1,2,3,2,1,2
1939,66,66,2,2,2,2,2,2,2,2,0,4,6,6,4,2,8,9,0,0,0,88,0,10,5,88,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,88,2,1,1,8,2,2,3,2,4,2,3,2,1,4,55,2,3,8,1,1
