"yrbrn","prtvteit","prtclfit","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","likrisk","liklead","sothnds","eqwrkbg","eqpolbg","ppltrst","trstlgl","trstplc","trstplt","trstep","trstun","lrscale","euftf","atchctr","atcherp","ccrdprs","edlvfit","trstprl","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","ccnthum","dscrgrp","ctzcntr","brncntr","feethngr","pbldmna","volunfp","mbtru","emplrel","impcntr","hincfel","polintr","aesfdrk","gincdif","freehms","vteurmmb","lrnobed","domicil","loylead","wprtbym","actrolga"
"1961",NA,NA,"2","2","4","3","2","4","2","2","2","3","3",NA,NA,"9","4","4","5","6","6","8","4","8","8","7","4","1",NA,"3","4","4","4","3","3","4","4","3","3","3","3","2","2","1","1","1","2","2","3","1","3","3","3","3","3","3","44","3","4","3","2","2"
"1986","1","1","2","3","2","2","1","2","2","3","3","5","4","6","4","6","7","9","6","3","2","7","2","10","3","6","8","6","3","2","1","3","1","1","3","2","1","3","3","1","2","3","2","1","1","1","2","2","3","1","3","2","2","2","2","2","2","1","4","2","3","3"
"1950",NA,NA,"1","2","2","2","2","2","2","2",NA,"3","6","6","6","5","8","8","0",NA,NA,NA,"0","8","7","6","4","0","2","2","2","2","2","2","3","2","2","2","2","2","2","3","2","1","1","1","2","2","3",NA,"3","1","4","2","1","2","1","2","4","2","2",NA
"1962","3",NA,"3","5","1","4","2","3","2","2","1","0","5","6","6","4","6","8","2","4","1","5","3","10","7","5","4","2","2","3","1","1","4","2","6","1","3","1","1","1","3","3","2","1","1","1","2","2","3",NA,"2","2","4","2","1","2","1","2","1","3","1","1"
"1952",NA,NA,"2","3","1","1","1","3","1","1","0","3","6","5","5","5","7","10","0","0","2","5","5","10","7","6","5","0","3","3","2","2","3","1","4","1","5","2","1","1","1","4","2","1","1","1","2","2","2","1","2","1","2","1","1","4","1","1","4","3","3","2"
"1995",NA,NA,"3","4","1","3","3","2","4","2","0","3","4","6","6","5","5",NA,"3","5",NA,NA,"5","6","4",NA,"17","4","3",NA,"3","3","2","3","4",NA,"3",NA,"3",NA,"3","4","2","1","1","1","2","2","3",NA,"2",NA,"3","2","2","1",NA,"3","3","3","3",NA
NA,NA,NA,"6","5","1","5","2",NA,"3",NA,"0","0",NA,NA,NA,"2","0",NA,"0","0","0",NA,"2","5","2","4",NA,"0","1","6",NA,"1",NA,NA,"6","2",NA,"2",NA,"1","6","4","2","1","1",NA,"2","2","3",NA,"3","3","4",NA,"2",NA,"55","2",NA,"2","2","1"
"1975","2","2","2",NA,"3","3","3","3","3","2","4","5","5","5","5","6","3",NA,"3","4",NA,"3","5","9","5","6","17","4","2","3","1","2","1","3","3",NA,"3","2","3","3","2","3","2","1","1","1","2","2","1","1","3","1","3","2","1","1","1","3",NA,"3","2",NA
"1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6","6","0","5","5","5","5","5",NA,"0","10","10","6","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","1","1","2","2","3","2","3","2","3","2","1",NA,"1","2","3","2",NA,"1"
"1978",NA,NA,"4","3","2","5","1","2","2","2","3","4","4","6",NA,"4","6","7","5","4",NA,NA,NA,NA,NA,"8",NA,"5","2","2","1","1","1","3","3","3","3",NA,NA,NA,NA,"3","2","1","1","1","2","2",NA,NA,"1","2","3","2","2","2","1","3","1",NA,"3","2"
"1992",NA,NA,"1","4","1","2","1","1","4","2","4","2","6","6","6","0","0","0","0","5","6",NA,"3","0","10","9","12","0","2","5","1","1","1","1","3","1","1","1","1","1","4","5","1","1","1","1","2","2","3","1","1","3","2","4","4","1","1","1","3","4","1","1"
"1961",NA,NA,"1","6","1","5","1","2","1","1","0","0","6","5","5","2","6","10","3","2","2",NA,"6","9","5","10","4","4","1","4","2","1","3","2","6","1","1","1","1","1","3","4","2","1","1","1","2","2","3",NA,"2","2","4","2","1","2","2","2","3","4","2","1"
"1983",NA,NA,"1","2","1","1","1","1","3","2","0","5","6","6","6","2","5","4","0","0","0","6","0","10","7","2","4","0","2","2","1","2","3","1","5","2","1","1","1","1","1","4","2","1","1","1","2","2","3","2","4",NA,"3","1","2","2","1","1","4","4","2","3"
"1970",NA,"3","3","5","6","2","3","2","2","4","0","2","2",NA,NA,"1","2","2","2","3","2","6","3","6","3","6","9","3","6","5","5","3","3","3","1","6","6","5","2","1","3","1","2","1","1","1","2","2","3","1","2","2","3","2","2","2","2","2","3","2","2","4"
"1990","2",NA,"2","4","1","2","2","2","6","2","1","4","5","6","6","6","6","8","4","4","4","3","8","8","6","7","17","5","3","3","2","2","2","2","5","2","1","1","1","3","2","3","2","1","1","1","2","2","3","1","1","1","3","2","1","2","1","2","3","3","2","2"
"2008",NA,NA,"3","4","4","4","4","2","3","4","3","4","4","3","3","6","7","7","7","6","6","7","5","5","6","5","4","7","3","4","4","3","5","3","3","4","2","2","5","2","4","3","2","2","1","1","1","1","3",NA,"2","2","3","2","3","3","33","3","3","3","4","4"
"1954","3",NA,"3",NA,NA,NA,NA,NA,"4","4","3","3","3","3","3","3","4","3","3","5","5",NA,"4","4","4","7","4","3",NA,"1","2","2",NA,"4","3","2",NA,"3","2","3",NA,NA,"2","1","1","1","2","2","3",NA,"3","3","4","2","1","3",NA,"3","4","3","1","1"
"1966","3","3","1","1","1","1","1","2","2","2","5","4","6","6","6","1","5","7","2","4","3","6","5","9","8","5","4","5","1","2","3","2","2","2","2","5","1","1","1","1","1","2","2","1","1","1","2","2","3","2","1","2","4","2","1","1","1","2","3","2","1","2"
"1939",NA,NA,"2","2","2","2","2","2","2","2","0","4","6","6","4","2","8","9","0","0","0",NA,"0","10","5",NA,"4","5","2","2","2","2","2","2","2","2","2","2","2","2","2",NA,"2","1","1",NA,"2","2","3","2","4","2","3","2","1","4","55","2","3",NA,"1","1"
"1969","2","2","3","2","1","2","2","2","2","2","2","2","4","6","6","7","7","6","7","6","6","2","10","8","8","9","9","7","1","2","1","1","2","1","2","2","2","1","1","1","1","4","2","1","1","1","1","2","3","3","1","1","2","2","2","2","1","1","3","2","1","3"
"1960","3",NA,"4","6","1","6","1","5","3","3","0","0","6","6","6","3","6","8","2","5","4","6","5","9","4","2","4","2","1","5","2","1","5","1","6","1","4","1","1","1","5","2","2","1","1","1","2","2","3","1","2","4","4","2","1","1","55","3","3","4","1","2"
"1967","3","3","2","3","1","2","1","1","1","2","4","4","6","6","6","5","4","7","0","3","4",NA,"5","10","5","5","4","3","1","1","1","1","1","1","3","3","1","1","1","1","1","3","2","1","1","1","2","2","3",NA,"3","2","4","3","1","3","33","2","3","3","1","2"
"2004",NA,NA,"3","4","1","3","1","2","3","2","1","2","3","2","2","8","6","8",NA,NA,NA,NA,"5","5","2","2","7","8","1","4","1","3","4","3","4","3","3","3","3","3","2","2","2","1","1","1","2","2","3",NA,"2","2","4","3","1","2","33","2","3","3","2","2"
"1983","1","1","1","3","1","2","1","2","1","3","3","3","4","6","6","6","8","9","5","5","4","6","4","10","6","7","8","6","2","2","2","2","1","1","3","2","1","2","2","1","3","3","2","1","1","1","2","2","3","1","3","2","2","2","2","2","2","2","3","3","3","3"
"1955",NA,NA,"1","5","1","3","1","2","1","1","2","3","6","6","6","2","3","2","2","1","1","5","3","10","8","6","4","3","1","2","2","1","1","1","4","1","1","1","1","1","3","3","2","1","1","1","2","2","2","1","2","1","3","2","2","2","55","2","1","2","1","2"
"2007",NA,NA,"1","4","1","3","4","1","5","1","3","2","3","3","6","4","1","3","0","3","3","3","8","7","4","8","4","0","1","4","2","1","2","2","3","4","4","1","1","5","4","4","2","1","1","1","2","2","3",NA,"1","1","3","4","1","1","1","4","4","5","4","2"
"1961","1","1","2","3","1","2","1","1","1","2","2","2","4","5","4","6","7","8","6","6","7","8","2","10","7","5","6","7","1","3","1","1","3","1","3","2","2","1","1","1","2","3","2","1","1","1","1","2","3","2","2","1","2","2","1","1","1","2","3","2","2","3"
"1967",NA,NA,"4","4","3","4","3","4",NA,"3",NA,NA,"5","5",NA,"2","0","2","0","0","5",NA,"5","6","0","0",NA,"0","3","4",NA,"3","3","3","5","3","3",NA,"3","2","4",NA,"2","1","1",NA,"2","2",NA,NA,NA,NA,"4",NA,"1",NA,"2","3","3","4",NA,"1"
"1968","2","2","3",NA,"3","3","3","3","3","3","4","3","4","6","4","5","5","5","5","5","4","0","5","9","6","8","17","5","3","3","2","2","3","3","3","3","3","2","3","2","3","3","2","1","1","1","2","2","1","1","3","1","2","2","2","2","1","2","3","2","2","3"
"1956","1",NA,"3","6","3","4","4","4","3","3","0","0","5",NA,"3","0","5","8","0","0","0","5","0","10","0","3","3","2","3","4","3","3","3","3","5","1","1","2","2","2","5","3","2","1","1","1","2","2","3",NA,"3","3","4","2","2","3","1","2","4","3","2","1"
"1976","3",NA,"2","4","1","3","1","1","2","1","3","3","6","5","5","4","7","8","1","5","5",NA,"5","10","7","5","4","5","1","3","1","1","2","1","4","1","1","1","1","1","2","3","2","1","1","1","2","2","3","1","2","2","4","2","1","2","1","3","3","3","1","2"
"1969",NA,NA,"3","3","3","3","3","3","3","3","0","3","6","6","6","6","8","8","5","6","7",NA,NA,"10","10","8","9","6","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","2","2","3","2","3",NA,"3","2","1","2","1","2","4","2",NA,"3"
"1950",NA,NA,"4","2","2","2","2","2","2","2","0","0","6","6","6","1",NA,NA,"0","0",NA,NA,"0","8",NA,"6","8","10","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","1","1","1","2","2","3",NA,"4","1","3","3","1","3",NA,"2","3","3","2","1"
"1974","2","2","1","2","1","2","1","2","2","1","4","4","6","6","6","4","7","7","6","6","6","2","9","10","10","10","9","6","3","1","1","1","2","1","2","2","1","1","1","1","1","4","2","1","1","1","1","2","3","1","1","3","2","2","1","1","1","2","3","1","1","3"
"1997",NA,NA,"1","5","1","3","1","2","1","1","1","1","6","6","6","4","2","6","2","2","1","6","4","8","3","8","12","3","2","3","1","1","3","3","4","2","3","2","1","2","3","4","2","1","1","1","2","2","3","1","2","1","2","2","2","2","1","3","4","4","3","3"
"1945",NA,NA,NA,"3","3","3","3","5","3","3","0","0","5","6","3","0","6","8","0","0",NA,NA,"0","10",NA,"0","4","0","3","4","3","3","3","3","4","3","3","3","3","3","3","3","2","1","1","1","2","2","3","2","4","2","3","2","1","4","55","2","3","3","1","2"
"1964",NA,NA,NA,"4","2","4","1","4","3",NA,"0","0",NA,NA,NA,"0","0","0","0","0","0",NA,NA,"5","0",NA,"4","0","1","4",NA,"2","4","2","5","3","3","3","3","1","4",NA,"2","1","1",NA,"2","2","3",NA,NA,NA,"4",NA,"1",NA,"2",NA,"3","3","2","1"
"1999",NA,NA,"3","3","3","3","3","3","3","3","2","3","5","6","6","7","7","7","4","6","7",NA,"10","10","8","10","9","5","3","3",NA,"3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","2","1","1",NA,"2",NA,"2","2","1","1","1","2","3","3","3","2"
"1985","3",NA,"3","4","1","3","1","4","2","2","2","0","4","6","6","3","9","9","1","8","7","5","6","10","10","8","9","5","2","4","3","2","3","2","4","2","3","2","2","3","3","4","2","1","1","1","2","2","3","1","3","3","3","3","2","3","1","1","1","3","3","2"
"1973",NA,NA,"3","3","3","3","3","3","3","3","0","3","6","6","6","7","4","5","3","4","4","5",NA,"10","8","3","4","4","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","1","1","1","2","1",NA,"1","2",NA,"2","2","1","1",NA,"3","3","3","1","3"
"2008",NA,NA,"2","2","2","2","3","3",NA,"3","1","4","4",NA,NA,"2","2","3","2","2","1",NA,NA,"2","2","2","4","1","3","3","3","3","3","3","4","3","3","3","3","3","3","2",NA,"1","1","1","2","2","3",NA,"3","3","3","2","3","3",NA,"3","4","3","3","2"
"1969","2","2","2","3","2","2","1","1","2","3","0","4","4","6","6","6","7","8","4","4","5","3","5","7","7","6","9","6","3","1","1","2","1","2","4","2","2","2","2","2","3","3","2","1","1","1","2","2","3","1","3","1","2","2","4","2","1","2","1","3","2","4"
"1946",NA,NA,"2","2","1","2","2","3","4","2","3","4","3","4","3","7","6","7","2","1","1","5","3","2","1","5","2","3","2","3","2","2","3","2","2","3","3","2","2","3","3","4","2","1","1","2","2","2","3","1","3","2","3","2","3","3","2","3","4","2","3","2"
"2005",NA,NA,NA,"3","3","3","2",NA,"2","2","4","5","5","6","6","5","5","8","0","5","4",NA,"8","9","7","3","4","2","2","3","2","1","2","2","2",NA,"1","2","1","2","2","3","2","1","1","1","2","2","3",NA,"1","2","4","2","3","1","1","1","5","1",NA,"1"
"1957",NA,NA,"2","6","6","5","1","3","3","3","0","0","6","6","6","3","5","10","0",NA,NA,NA,"10","8","5","10","9","0","1","6","1","1","5","1","6","3","4","1","1","1","5","2","2","1","1","1","2","2","3",NA,"3","3","4","3","3","2","1","2","4","3","2","1"
"1959",NA,NA,"1","4","3","3","2","3","3","3","0","1","3","1","1","4","2","3","0","0","0","5","2","5","0","0","4","1","3","4","3","3","3","3","4","3","3","3","3","3","4","1","2","1","1","1","2","2","3","1","2","3","3","2","1","2","2","3","3","3","3","2"
"2006",NA,NA,"3","3","3","3","3","3","4","3","2","5","5","6","6","3","6","6","4","6","7",NA,NA,"10","10","7","4","6","4","3","3","3","2","2","3","2","1","1","2","3","1",NA,"2","1","1","1","2","2","3",NA,"2","1","3","2","2","1",NA,"3","3","3","1","2"
"1940",NA,NA,"1","6","2","3","1","3","2","2","0","0","6","6","6","4","5","6","5","5","6","8","5","9","8","5","2","5","2","6","1","3","2","2","6","1","3","2","2","2","6","3","2","1","1","1","2","2","3",NA,"1",NA,"3","2","2","2","1","2","4","3","2","1"
"1951","5","5","4","4","1","4","4","4","1","1","0","0","3","6","4","1","0","10","0","7","6","10","5","8","8","6","2","0","1","6","6","2","4","4","6","1","1","1","1","1","6","3","2","1","1","1","2","2","3","1","3","4","3","2","2","3","1","1","4","3","1","1"
"1949","1","1","1","5","1","1","1","2","1","1","3","5","6","6","6","7","8","10","7","6","6","8","4","10","7","10","9","7","1","2","1","2","1","1","2","1","1","1","2","2","2","4","2","1","1","1","2","2","3","1","3","1","2","1","3","2","1","1","3","1","1","4"
"1981","5",NA,"3","3","3","3","2","3","3","3","3","3","5","4","3","7","5","6","2","1","1","8","3","8","2","4","9","4","3","4","3","2","2","2","4","4","1","1","2","2","3","4","2","1","1","1","2","2","1","1","2","2","3","2","1","2",NA,"2","3","3","3","3"
"1974",NA,NA,"1","1","1","1","2","2","2","1","5","6","6","6","6","1","4","5","1","5","6","6","4","10","8","3","9","2","4","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","3","1","2","2","4","2","2","2","1","2","3","4","2","2"
"1998",NA,NA,"2","2",NA,NA,"3","3","3","3","2","2","2",NA,NA,"6","1","2","5","2","2",NA,"1","2","2","2","7","1","3","3","3","3","3","3","3",NA,NA,"2","2","2","2","2","2","1","1","1","2","2",NA,"1","3","3","3","2","3","2",NA,NA,"4","3","3","2"
"1959",NA,NA,"2","2","2","2","2","2","1","2","3","4","4","6","6","7","5","6","2","5","5","5","10","9","7","8","9","4","4","3","2","2","2","2","3","3","3","2","3","3","3","3",NA,"2","1","1","2","2","1","1","3","2","4","2","2","2","1","2","4","4","3","2"
"1953",NA,NA,"2","3","3","4","2","2","4","4","4","5","5","5","5","6","8","8","4","1","3","5","1","9","5","2","4","5","3","3","3","3","4","4","4","4","2","2","2","2","4","2","2","1","1","1","2","2","3","2","2","3","2","3","2","2","33","3","3","2","3","2"
"1948","5",NA,"1","5","1","4","1","3","1","3","0","1","5","5","4","5","7","9","1","2","1","5","4","8","6","7","4","3","3","4","2","2","4","2","6","1","2","2","3","1","3","3","2","1","1","1","2","2","3","3","3","2","3","2","2","2","2","2","4","4","4","2"
"1959","2","2","3","5","1","5","4","4","5","4","4","4","5","5","5","5","8","8","7","8","8","2","8","9","8","8","4","3","3","3","3","3","3","3","3","3","2","2","1","1","3","4","2","1","1","1","1","2","3","1","1","2","2","2","1","1","1","2","1","2","2","3"
"1960","3",NA,"1","4","1","3","1","4","2","2","2","3","4","5","5","6","8","9","3","5","8",NA,"6","10","7","5","8","4","3","3","1","1","2","1","4","3","3","1","1","2","3","4","2","1","1","1","2","1","3","1","2","2","2","2","2","2","1","3","4","5","2","3"
"1965","3",NA,"2","3","1","4","1","1","1","1","2","3","5","6","6","6","3","6","3","4","3",NA,"3","8","7","5","9","4","1","1","1","1","1","1","2","3","2","1","1","1","3","3","2","1","1","1","2","2","3","2","2","2","3","2","1","1","44","2","3","4","2","1"
"1987","3","3","3","3","3","3","3","3","3","3","2","2","4","6","6","6","6","7","5","7","7",NA,"6","10","10","6","9","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","2","2","3","2","2","2","2","2","1","1","1","2","3",NA,"1","2"
"1959",NA,NA,"2","4","2","2","2","2","2","2","0","3","4","5","5","6","7","8","6","6","6","4","7","8","5","6","9","6","4","4","2","2","2","2","4","2","3","1","2","2","2","3","2","1","1","1","2","2","3","1","1","2","3","2","2","2","1","2","3","2","2","2"
